participantId,format,fam_JSON,fam_JSONC,fam_JSON5,fam_HJSON,fam_YAML,fam_TOML,fam_XML
67895b7d6400163124042af7,jsonc,Used it a few times,Used it a few times,Used it a few times,Used it a few times,Not familiar at all,Heard of it but never used,Comfortable using it
659960f32faa4ff4b116de92,toml,Not familiar at all,Not familiar at all,Not familiar at all,Not familiar at all,Not familiar at all,Not familiar at all,Not familiar at all
5f7f239e9b204e05b6c36538,json5,Not familiar at all,Not familiar at all,Not familiar at all,Not familiar at all,Not familiar at all,Not familiar at all,Not familiar at all
67b8636acd5ed420cc098b64,toml,Heard of it but never used,Not familiar at all,Heard of it but never used,Not familiar at all,Heard of it but never used,Heard of it but never used,Used it a few times
57ca4b09993b08000192297b,xml,Comfortable using it,Not familiar at all,Not familiar at all,Not familiar at all,Used it a few times,Not familiar at all,Used it a few times
67d1cc8044430e99a7d91b4a,toml,Used it a few times,Used it a few times,Not familiar at all,Not familiar at all,Not familiar at all,Comfortable using it,Used it a few times
6693ce87e76d32ccf07fbcd8,xml,Heard of it but never used,Not familiar at all,Not familiar at all,Not familiar at all,Not familiar at all,Not familiar at all,Heard of it but never used
680ebf035ab59d342f31726e,hjson,Not familiar at all,Not familiar at all,Not familiar at all,Not familiar at all,Not familiar at all,Not familiar at all,Heard of it but never used
67f0d86fabc081fdc410e828,yaml,Not familiar at all,Not familiar at all,Not familiar at all,Not familiar at all,Heard of it but never used,Heard of it but never used,Not familiar at all
6691809035e52ca9b2b0f39a,yaml,Heard of it but never used,Not familiar at all,Not familiar at all,Not familiar at all,Not familiar at all,Not familiar at all,Used it a few times
678faf5b31008609fd85b185,json5,Heard of it but never used,Heard of it but never used,Heard of it but never used,Heard of it but never used,Heard of it but never used,Heard of it but never used,Heard of it but never used
65e85a421f2dee53c62fbf45,json5,Not familiar at all,Not familiar at all,Not familiar at all,Not familiar at all,Not familiar at all,Not familiar at all,Not familiar at all
666b0b42bb6fa2822fa27a32,json5,Not familiar at all,Not familiar at all,Not familiar at all,Heard of it but never used,Comfortable using it,Heard of it but never used,Expert
6708da9c62672d0fe65b6683,jsonc,Not familiar at all,Not familiar at all,Not familiar at all,Not familiar at all,Not familiar at all,Not familiar at all,Not familiar at all
60f70af563ef757f65e750e0,xml,Heard of it but never used,Not familiar at all,Not familiar at all,Not familiar at all,Heard of it but never used,Not familiar at all,Heard of it but never used
670f9ddb0e32533c222c3031,json,Used it a few times,Heard of it but never used,Heard of it but never used,Used it a few times,Heard of it but never used,Heard of it but never used,Used it a few times
67d03135f855dd0ff0994265,toml,Heard of it but never used,Used it a few times,Heard of it but never used,Heard of it but never used,Heard of it but never used,Heard of it but never used,Used it a few times
674f479b2a4ef75e4551f258,json5,Used it a few times,Heard of it but never used,Comfortable using it,Heard of it but never used,Not familiar at all,Not familiar at all,Heard of it but never used
5ee4a14b578f8a000b384376,yaml,Not familiar at all,Not familiar at all,Not familiar at all,Not familiar at all,Not familiar at all,Not familiar at all,Not familiar at all
63af557b3d4f219c3226b7d6,yaml,Not familiar at all,Not familiar at all,Not familiar at all,Not familiar at all,Not familiar at all,Not familiar at all,Not familiar at all
65583ffa38bfc41805a553cd,hjson,Used it a few times,Used it a few times,Used it a few times,Heard of it but never used,Comfortable using it,Comfortable using it,Expert
66684d30d1a0d64a3a348c82,yaml,Heard of it but never used,Heard of it but never used,Heard of it but never used,Heard of it but never used,Used it a few times,Heard of it but never used,Heard of it but never used
60ec51c51a3158a50ded8a3e,json5,Comfortable using it,Not familiar at all,Heard of it but never used,Not familiar at all,Used it a few times,Not familiar at all,Used it a few times
671bdd06525adeea062a1d73,json,Comfortable using it,Not familiar at all,Not familiar at all,Not familiar at all,Used it a few times,Heard of it but never used,Used it a few times
6647e8618c77f7b938865d25,json5,Comfortable using it,Used it a few times,Comfortable using it,Heard of it but never used,Not familiar at all,Not familiar at all,Expert
613a541cf948d295c1df8752,jsonc,Heard of it but never used,Not familiar at all,Not familiar at all,Not familiar at all,Not familiar at all,Not familiar at all,Heard of it but never used
5e5c993cd0394c474f7cc502,toml,Heard of it but never used,Heard of it but never used,Heard of it but never used,Heard of it but never used,Heard of it but never used,Used it a few times,Heard of it but never used
67c045fa5074c5500ca40e76,xml,Comfortable using it,Heard of it but never used,Comfortable using it,Used it a few times,Heard of it but never used,Used it a few times,Used it a few times
67d2eaf9d5996dc6be1c7072,xml,Used it a few times,Not familiar at all,Not familiar at all,Not familiar at all,Not familiar at all,Not familiar at all,Used it a few times
60e2ebb6ad1d5ee0e515a7c5,yaml,Not familiar at all,Not familiar at all,Not familiar at all,Not familiar at all,Heard of it but never used,Not familiar at all,Heard of it but never used
67153c0d669d191ab273b865,yaml,Heard of it but never used,Heard of it but never used,Heard of it but never used,Heard of it but never used,Heard of it but never used,Heard of it but never used,Used it a few times
67ab1d683813ed19603e1030,yaml,Expert,Comfortable using it,Comfortable using it,Comfortable using it,Expert,Used it a few times,Heard of it but never used
60e343946a7faddde88fbe3c,yaml,Used it a few times,Heard of it but never used,Not familiar at all,Not familiar at all,Heard of it but never used,Not familiar at all,Heard of it but never used
67e0333064ddada0e2fc6f1e,yaml,Expert,Expert,Expert,Comfortable using it,Expert,Expert,Expert
5b3ec4332a5fbf00014eae57,toml,Used it a few times,Not familiar at all,Not familiar at all,Not familiar at all,Not familiar at all,Not familiar at all,Used it a few times
66912d7bf9d35c08f6919958,json,Expert,Used it a few times,Used it a few times,Expert,Expert,Expert,Expert
6717980047b565ab5b849317,hjson,Heard of it but never used,Used it a few times,Not familiar at all,Comfortable using it,Not familiar at all,Not familiar at all,Not familiar at all
651b29ff3a6cadf518640abe,xml,Not familiar at all,Not familiar at all,Not familiar at all,Not familiar at all,Not familiar at all,Not familiar at all,Not familiar at all
6818ca1523ece90f671e3601,json,Used it a few times,Used it a few times,Comfortable using it,Comfortable using it,Comfortable using it,Expert,Comfortable using it
67c1dd323984fa84ae83e162,jsonc,Used it a few times,Heard of it but never used,Heard of it but never used,Heard of it but never used,Heard of it but never used,Heard of it but never used,Heard of it but never used
67d2a409ab3638e33fc417b9,hjson,Used it a few times,Not familiar at all,Heard of it but never used,Heard of it but never used,Used it a few times,Heard of it but never used,Heard of it but never used
66ec8f7ce843d25227820f97,hjson,Heard of it but never used,Not familiar at all,Not familiar at all,Not familiar at all,Not familiar at all,Not familiar at all,Not familiar at all
6680d2279263349cc005956a,json,Expert,Not familiar at all,Heard of it but never used,Heard of it but never used,Comfortable using it,Not familiar at all,Comfortable using it
6081728972120aa7f9685791,json,Expert,Comfortable using it,Comfortable using it,Comfortable using it,Comfortable using it,Comfortable using it,Expert
67aca6831f2b0b79416bdb6c,xml,Used it a few times,Heard of it but never used,Comfortable using it,Used it a few times,Comfortable using it,Expert,Comfortable using it
675aaf0eb1b401136f37c475,json,Heard of it but never used,Not familiar at all,Not familiar at all,Not familiar at all,Not familiar at all,Not familiar at all,Not familiar at all
6723422d5f63c70998014b03,jsonc,Used it a few times,Comfortable using it,Heard of it but never used,Not familiar at all,Not familiar at all,Used it a few times,Heard of it but never used
6554e79557e3d6be08e32ceb,yaml,Not familiar at all,Not familiar at all,Not familiar at all,Not familiar at all,Not familiar at all,Not familiar at all,Heard of it but never used
645b519f108c046164a6d232,yaml,Used it a few times,Heard of it but never used,Heard of it but never used,Not familiar at all,Not familiar at all,Not familiar at all,Heard of it but never used
589cd166b2a7180001f0527d,jsonc,Not familiar at all,Not familiar at all,Not familiar at all,Not familiar at all,Not familiar at all,Not familiar at all,Heard of it but never used
6682a94b061954ae8483fb08,toml,Used it a few times,Not familiar at all,Not familiar at all,Not familiar at all,Heard of it but never used,Not familiar at all,Not familiar at all
6735b2a6112cf17b7b8df8d1,jsonc,Heard of it but never used,Not familiar at all,Not familiar at all,Not familiar at all,Not familiar at all,Not familiar at all,Not familiar at all
67792abbab2fa21bf3644c09,hjson,Heard of it but never used,Not familiar at all,Not familiar at all,Heard of it but never used,Heard of it but never used,Not familiar at all,Not familiar at all
5ea90bb434d5e337e98c7edd,json5,Heard of it but never used,Heard of it but never used,Heard of it but never used,Heard of it but never used,Not familiar at all,Not familiar at all,Heard of it but never used
677f8968bbb08bc37c8d2a4b,xml,Heard of it but never used,Used it a few times,Heard of it but never used,Heard of it but never used,Used it a few times,Used it a few times,Used it a few times
672f51ea346fba23ddd5a793,xml,Comfortable using it,Comfortable using it,Comfortable using it,Comfortable using it,Comfortable using it,Comfortable using it,Comfortable using it
67d13a1ec91ae2216896de44,json,Comfortable using it,Comfortable using it,Comfortable using it,Comfortable using it,Comfortable using it,Comfortable using it,Comfortable using it
67bf5ad9c5a4637861cfd21e,toml,Not familiar at all,Not familiar at all,Not familiar at all,Not familiar at all,Heard of it but never used,Heard of it but never used,Heard of it but never used
616e5ae706e970fe0aff99b6,hjson,Comfortable using it,Not familiar at all,Not familiar at all,Not familiar at all,Comfortable using it,Not familiar at all,Used it a few times
66311bae532a469f4858933e,toml,Used it a few times,Not familiar at all,Not familiar at all,Not familiar at all,Not familiar at all,Not familiar at all,Used it a few times
669284eabea5b8c9655927da,yaml,Heard of it but never used,Not familiar at all,Not familiar at all,Not familiar at all,Not familiar at all,Not familiar at all,Not familiar at all
67da5ae29f57419143d2b99a,jsonc,Comfortable using it,Comfortable using it,Heard of it but never used,Heard of it but never used,Used it a few times,Used it a few times,Used it a few times
68138e7f96395f4c5f3a0a87,json,Not familiar at all,Not familiar at all,Not familiar at all,Not familiar at all,Not familiar at all,Not familiar at all,Not familiar at all
66684beba2a2d24645a6d782,jsonc,Used it a few times,Used it a few times,Used it a few times,Used it a few times,Used it a few times,Used it a few times,Used it a few times
660eafee7515c432e850362d,hjson,Used it a few times,Used it a few times,Used it a few times,Used it a few times,Heard of it but never used,Heard of it but never used,Heard of it but never used
62d7fef5538b81f205ba4656,xml,Used it a few times,Not familiar at all,Not familiar at all,Not familiar at all,Not familiar at all,Not familiar at all,Not familiar at all
67caa7fe00179edfb74d3e1a,json5,Used it a few times,Used it a few times,Used it a few times,Used it a few times,Heard of it but never used,Heard of it but never used,Heard of it but never used
65fae23bd06ae76bcc297e8b,hjson,Heard of it but never used,Not familiar at all,Not familiar at all,Used it a few times,Heard of it but never used,Used it a few times,Not familiar at all
588ab33542c8e900019d02ae,jsonc,Used it a few times,Not familiar at all,Not familiar at all,Not familiar at all,Not familiar at all,Not familiar at all,Used it a few times
67f4ea448eb6a2b293c1f2fc,json,Heard of it but never used,Used it a few times,Heard of it but never used,Heard of it but never used,Heard of it but never used,Used it a few times,Comfortable using it
65f4ab7884f8411c9e11a34e,json5,Heard of it but never used,Heard of it but never used,Heard of it but never used,Heard of it but never used,Not familiar at all,Not familiar at all,Heard of it but never used
611d0afbb2a19acfd012545b,toml,Not familiar at all,Not familiar at all,Not familiar at all,Not familiar at all,Not familiar at all,Heard of it but never used,Not familiar at all
67406c1303bd39d206ff2b50,xml,Heard of it but never used,Heard of it but never used,Heard of it but never used,Heard of it but never used,Heard of it but never used,Heard of it but never used,Used it a few times
61601e9a6b8306196d2a129c,hjson,Not familiar at all,Not familiar at all,Not familiar at all,Not familiar at all,Not familiar at all,Not familiar at all,Not familiar at all
65fad6c874ac75642ffc254b,hjson,Not familiar at all,Not familiar at all,Not familiar at all,Not familiar at all,Not familiar at all,Not familiar at all,Not familiar at all
606c7d27f4f3ae688332a55d,toml,Comfortable using it,Not familiar at all,Heard of it but never used,Not familiar at all,Used it a few times,Heard of it but never used,Comfortable using it
67f66486e35051403284eb5e,xml,Heard of it but never used,Heard of it but never used,Heard of it but never used,Heard of it but never used,Heard of it but never used,Heard of it but never used,Used it a few times
67a8fa10b4db1990f7372f01,json5,Comfortable using it,Comfortable using it,Used it a few times,Heard of it but never used,Heard of it but never used,Heard of it but never used,Comfortable using it
6094ce8d0764c24f352d1fe5,hjson,Heard of it but never used,Not familiar at all,Not familiar at all,Used it a few times,Not familiar at all,Not familiar at all,Used it a few times
6715c7aedee148c65c10509c,yaml,Heard of it but never used,Not familiar at all,Not familiar at all,Not familiar at all,Heard of it but never used,Not familiar at all,Heard of it but never used
664e413a5f3eb7f99d90e15b,json,Used it a few times,Used it a few times,Heard of it but never used,Heard of it but never used,Heard of it but never used,Comfortable using it,Comfortable using it
65fb13bebfa339f73b4cf76a,jsonc,Used it a few times,Used it a few times,Heard of it but never used,Used it a few times,Heard of it but never used,Heard of it but never used,Heard of it but never used
65fb236a5a78fcf672df7469,json,Used it a few times,Used it a few times,Comfortable using it,Heard of it but never used,Used it a few times,Comfortable using it,Used it a few times
60f7c71d1cffec381351b0b3,xml,Not familiar at all,Not familiar at all,Not familiar at all,Not familiar at all,Not familiar at all,Not familiar at all,Heard of it but never used
675330fb23080b9ae3ec8239,json5,Used it a few times,Used it a few times,Used it a few times,Heard of it but never used,Heard of it but never used,Used it a few times,Comfortable using it
671e39c25e5e3f340a6f21d4,jsonc,Used it a few times,Used it a few times,Used it a few times,Heard of it but never used,Used it a few times,Heard of it but never used,Not familiar at all
5fb4fcd1fce53c30649dd704,xml,Not familiar at all,Not familiar at all,Not familiar at all,Not familiar at all,Not familiar at all,Not familiar at all,Heard of it but never used
67d0251c804fc17732eb948a,toml,Comfortable using it,Comfortable using it,Comfortable using it,Comfortable using it,Expert,Comfortable using it,Expert
67d11644421446068e1fec14,toml,Comfortable using it,Comfortable using it,Comfortable using it,Comfortable using it,Comfortable using it,Comfortable using it,Comfortable using it
67d0088c269b3e96d9ba6019,hjson,Heard of it but never used,Not familiar at all,Not familiar at all,Heard of it but never used,Heard of it but never used,Heard of it but never used,Heard of it but never used
678a94ff1cf9f0775cb89e69,hjson,Heard of it but never used,Heard of it but never used,Used it a few times,Heard of it but never used,Comfortable using it,Heard of it but never used,Not familiar at all
67176f0792ed8c4064f61a2c,json,Heard of it but never used,Not familiar at all,Heard of it but never used,Not familiar at all,Not familiar at all,Not familiar at all,Used it a few times
678526627e48ded12935af38,yaml,Heard of it but never used,Not familiar at all,Not familiar at all,Not familiar at all,Heard of it but never used,Not familiar at all,Heard of it but never used
6738d09a032bf7224008ce7e,yaml,Expert,Comfortable using it,Expert,Comfortable using it,Expert,Expert,Expert
62d6d87d91cf24a3c1c0f10c,hjson,Not familiar at all,Not familiar at all,Not familiar at all,Not familiar at all,Not familiar at all,Not familiar at all,Not familiar at all
67c6ed1e12728e4fe7a1edf6,jsonc,Comfortable using it,Used it a few times,Heard of it but never used,Heard of it but never used,Used it a few times,Used it a few times,Comfortable using it
672b5998daafdbf9c43a531b,jsonc,Comfortable using it,Comfortable using it,Comfortable using it,Comfortable using it,Comfortable using it,Comfortable using it,Comfortable using it
5795af044a84da00014c5df1,json,Used it a few times,Not familiar at all,Heard of it but never used,Not familiar at all,Heard of it but never used,Not familiar at all,Used it a few times
65298aca34ac384b783169d4,jsonc,Heard of it but never used,Heard of it but never used,Not familiar at all,Heard of it but never used,Not familiar at all,Not familiar at all,Not familiar at all
681374d36d7bd7ccb6f914f5,json5,Expert,Used it a few times,Expert,Used it a few times,Expert,Expert,Expert
61287939bc5a971fc15333e4,json,Not familiar at all,Not familiar at all,Not familiar at all,Not familiar at all,Not familiar at all,Not familiar at all,Not familiar at all
65feaaac53eb219f09ad5ea0,toml,Used it a few times,Heard of it but never used,Not familiar at all,Heard of it but never used,Not familiar at all,Used it a few times,Heard of it but never used
5755c957eb80c4000741a9ce,json5,Used it a few times,Not familiar at all,Not familiar at all,Not familiar at all,Not familiar at all,Not familiar at all,Comfortable using it
6693d3ae2bd15cf7a058e6a7,json5,Not familiar at all,Not familiar at all,Heard of it but never used,Not familiar at all,Not familiar at all,Not familiar at all,Not familiar at all
60e2bf0aa568b97e8d525872,toml,Comfortable using it,Heard of it but never used,Used it a few times,Comfortable using it,Heard of it but never used,Comfortable using it,Comfortable using it
67d24179c5bd87691f1fe036,yaml,Not familiar at all,Not familiar at all,Not familiar at all,Not familiar at all,Not familiar at all,Not familiar at all,Not familiar at all
5c4f5967aac8be0001716a65,xml,Used it a few times,Not familiar at all,Not familiar at all,Not familiar at all,Heard of it but never used,Not familiar at all,Heard of it but never used
