participantId,format,task,difficulty,confidence
56cb8858edf8da000b6df354,hjson,modifying-task-tabular,1.5,6.75
56cb8858edf8da000b6df354,hjson,reading-task-tabular,1.0,7.0
57c357770e6a1f00015f6038,json,modifying-task-tabular,6.0,2.75
57c357770e6a1f00015f6038,json,reading-task-tabular,4.6,7.0
5b68c9eb87af310001584803,json5,modifying-task-tabular,3.5,5.5
5b68c9eb87af310001584803,json5,reading-task-tabular,1.2,7.0
5c6414540821d30001046198,hjson,modifying-task-tabular,3.0,4.5
5c6414540821d30001046198,hjson,reading-task-tabular,2.4,6.2
5d30dfa68b1523000134878f,json,modifying-task-tabular,2.25,6.0
5d30dfa68b1523000134878f,json,reading-task-tabular,1.0,7.0
5d766978f47e6200019a2acf,yaml,modifying-task-tabular,1.75,5.5
5d766978f47e6200019a2acf,yaml,reading-task-tabular,1.2,7.0
5dafea4de40355001651fa2f,jsonc,modifying-task-tabular,5.0,2.25
5dafea4de40355001651fa2f,jsonc,reading-task-tabular,4.8,4.0
5e3b5fa9255e7a37bc841135,json,modifying-task-tabular,2.5,3.0
5e3b5fa9255e7a37bc841135,json,reading-task-tabular,1.0,6.8
5e8a5a892f6f027054a83d88,toml,modifying-task-tabular,2.0,4.0
5e8a5a892f6f027054a83d88,toml,reading-task-tabular,1.0,7.0
5ecc71c95c92c2000a9e9a19,jsonc,modifying-task-tabular,2.75,5.25
5ecc71c95c92c2000a9e9a19,jsonc,reading-task-tabular,1.0,7.0
5f29eff59714081a3594a331,json,modifying-task-tabular,3.0,5.25
5f29eff59714081a3594a331,json,reading-task-tabular,1.8,6.8
60721c2da01b3a616edba9a7,xml,modifying-task-tabular,6.0,5.25
60721c2da01b3a616edba9a7,xml,reading-task-tabular,2.8,5.8
607728dc0b4f8590b94ae57c,jsonc,modifying-task-tabular,2.25,5.75
607728dc0b4f8590b94ae57c,jsonc,reading-task-tabular,1.2,6.6
60a0b744298c64d46b63e893,hjson,modifying-task-tabular,4.0,4.25
60a0b744298c64d46b63e893,hjson,reading-task-tabular,2.4,6.2
60f1f1d4ac991a259b83f603,json,modifying-task-tabular,1.75,5.75
60f1f1d4ac991a259b83f603,json,reading-task-tabular,3.4,5.8
60fce3df91350150e2e88423,yaml,modifying-task-tabular,5.25,3.0
60fce3df91350150e2e88423,yaml,reading-task-tabular,1.0,6.6
61267b828ead584bcf092e35,hjson,modifying-task-tabular,3.75,6.0
61267b828ead584bcf092e35,hjson,reading-task-tabular,1.2,7.0
615200d54efc832849db2259,json,modifying-task-tabular,3.75,4.5
615200d54efc832849db2259,json,reading-task-tabular,1.6,6.4
62fd14d7b1e0729dc8aadb79,xml,modifying-task-tabular,1.75,6.0
62fd14d7b1e0729dc8aadb79,xml,reading-task-tabular,1.0,7.0
637d8ca00150ac6e71a34ec9,yaml,modifying-task-tabular,5.75,2.25
637d8ca00150ac6e71a34ec9,yaml,reading-task-tabular,2.4,5.8
63e5b3e89a3823139cb9d35e,toml,modifying-task-tabular,3.0,5.75
63e5b3e89a3823139cb9d35e,toml,reading-task-tabular,5.2,5.8
64275e53f51a5ed4f6b7d019,toml,modifying-task-tabular,2.5,5.5
64275e53f51a5ed4f6b7d019,toml,reading-task-tabular,1.0,7.0
64457bc906c125cebd4bf66b,json5,modifying-task-tabular,4.75,2.0
64457bc906c125cebd4bf66b,json5,reading-task-tabular,4.4,3.4
6501c0a2e788b5556c24569d,xml,modifying-task-tabular,5.75,5.75
6501c0a2e788b5556c24569d,xml,reading-task-tabular,5.8,6.0
6577a27da9f5297d49f38e6f,hjson,modifying-task-tabular,2.75,5.75
6577a27da9f5297d49f38e6f,hjson,reading-task-tabular,2.2,6.8
65be552ceed6a0595fa1feb5,json,modifying-task-tabular,2.75,6.0
65be552ceed6a0595fa1feb5,json,reading-task-tabular,5.0,4.6
65cf6d8a589a67afcab54e6f,hjson,modifying-task-tabular,1.0,7.0
65cf6d8a589a67afcab54e6f,hjson,reading-task-tabular,1.0,6.8
65fad673a546ab14baf2f8d3,json5,modifying-task-tabular,3.75,5.0
65fad673a546ab14baf2f8d3,json5,reading-task-tabular,1.8,5.8
66049694dfb8828a8f3dce70,yaml,modifying-task-tabular,4.75,5.0
66049694dfb8828a8f3dce70,yaml,reading-task-tabular,2.8,6.0
6606b31155457e4f162ecf5a,json5,modifying-task-tabular,4.5,6.75
6606b31155457e4f162ecf5a,json5,reading-task-tabular,2.8,7.0
66475d6f7b27e4443ef0d031,json,modifying-task-tabular,2.5,5.0
66475d6f7b27e4443ef0d031,json,reading-task-tabular,1.2,7.0
665c5d94303fdf202ac9ded0,toml,modifying-task-tabular,1.0,6.5
665c5d94303fdf202ac9ded0,toml,reading-task-tabular,1.4,6.6
6672d878f68b9e349b56e871,toml,modifying-task-tabular,4.5,3.75
6672d878f68b9e349b56e871,toml,reading-task-tabular,3.6,6.0
6675c40cdc52b37294f0514e,hjson,modifying-task-tabular,4.5,3.5
6675c40cdc52b37294f0514e,hjson,reading-task-tabular,2.2,5.6
66781db404eab5e142f849d9,jsonc,modifying-task-tabular,2.25,5.0
66781db404eab5e142f849d9,jsonc,reading-task-tabular,2.2,5.2
667971a555af1f83d3f29ae7,hjson,modifying-task-tabular,2.75,5.75
667971a555af1f83d3f29ae7,hjson,reading-task-tabular,2.0,6.2
667983594f7d5d70a78c6e5a,json,modifying-task-tabular,4.75,3.25
667983594f7d5d70a78c6e5a,json,reading-task-tabular,2.4,6.0
667ac09492ea0caadf488520,json,modifying-task-tabular,3.25,4.5
667ac09492ea0caadf488520,json,reading-task-tabular,3.8,4.2
667c18ace97ab6869cb1c50e,hjson,modifying-task-tabular,3.0,5.5
667c18ace97ab6869cb1c50e,hjson,reading-task-tabular,2.0,6.2
667c2175b570aa694ce2f63c,toml,modifying-task-tabular,4.5,6.0
667c2175b570aa694ce2f63c,toml,reading-task-tabular,3.2,5.8
6697c8b6d9d7baa7edd8c4d3,hjson,modifying-task-tabular,3.25,4.0
6697c8b6d9d7baa7edd8c4d3,hjson,reading-task-tabular,2.0,4.8
66992f58a7964f557fc75f58,toml,modifying-task-tabular,2.75,5.25
66992f58a7964f557fc75f58,toml,reading-task-tabular,1.4,6.4
669a84e18da4349ece0ea67c,xml,modifying-task-tabular,2.0,6.0
669a84e18da4349ece0ea67c,xml,reading-task-tabular,2.8,5.2
669b961e1c9cf30a26bb57d2,xml,modifying-task-tabular,4.75,4.0
669b961e1c9cf30a26bb57d2,xml,reading-task-tabular,6.4,4.2
66a662a0a709312db9de01f2,jsonc,modifying-task-tabular,4.75,3.25
66a662a0a709312db9de01f2,jsonc,reading-task-tabular,4.6,4.0
66a9285501ac98053902d481,toml,modifying-task-tabular,1.25,6.0
66a9285501ac98053902d481,toml,reading-task-tabular,1.0,7.0
66b0d065329001a04e5ae671,json,modifying-task-tabular,3.25,4.5
66b0d065329001a04e5ae671,json,reading-task-tabular,1.4,6.4
66b246951b9aefec80b7158a,json,modifying-task-tabular,4.25,3.75
66b246951b9aefec80b7158a,json,reading-task-tabular,2.4,5.6
66bb6b7e0ccbed81f3ed30a8,xml,modifying-task-tabular,6.25,1.75
66bb6b7e0ccbed81f3ed30a8,xml,reading-task-tabular,5.8,2.2
66cdfebcb908ea2717d06b6c,hjson,modifying-task-tabular,3.25,5.5
66cdfebcb908ea2717d06b6c,hjson,reading-task-tabular,2.4,6.2
671a519900a99ebc15a67672,yaml,modifying-task-tabular,3.25,5.0
671a519900a99ebc15a67672,yaml,reading-task-tabular,3.8,5.6
671b65fe04c301eb14263ba5,toml,modifying-task-tabular,2.0,6.0
671b65fe04c301eb14263ba5,toml,reading-task-tabular,1.4,6.8
672003022f1b667a20157c45,yaml,modifying-task-tabular,1.25,6.5
672003022f1b667a20157c45,yaml,reading-task-tabular,1.4,7.0
672ca6c0324ac26cdc0dd298,json5,modifying-task-tabular,4.25,5.5
672ca6c0324ac26cdc0dd298,json5,reading-task-tabular,4.2,5.8
672d98919cc177d28c204e76,json5,modifying-task-tabular,3.25,4.25
672d98919cc177d28c204e76,json5,reading-task-tabular,2.6,5.4
6734346ca8e90c2da6fb4509,jsonc,modifying-task-tabular,3.75,6.5
6734346ca8e90c2da6fb4509,jsonc,reading-task-tabular,2.4,6.6
673c13c9d37c8a73bc80b8ce,json,modifying-task-tabular,5.5,5.25
673c13c9d37c8a73bc80b8ce,json,reading-task-tabular,4.2,4.8
673d0377254c407e5da57f97,toml,modifying-task-tabular,1.75,6.25
673d0377254c407e5da57f97,toml,reading-task-tabular,3.4,6.2
673e43cc760355e9e4f042a3,json5,modifying-task-tabular,2.5,6.25
673e43cc760355e9e4f042a3,json5,reading-task-tabular,1.0,7.0
6740ae39809389d7da9de209,xml,modifying-task-tabular,6.0,4.0
6740ae39809389d7da9de209,xml,reading-task-tabular,5.2,5.6
6753746b1f8827e2bd586bf0,xml,modifying-task-tabular,5.5,3.0
6753746b1f8827e2bd586bf0,xml,reading-task-tabular,3.4,4.4
677c52fe648cd68583dd3b1e,xml,modifying-task-tabular,4.5,3.0
677c52fe648cd68583dd3b1e,xml,reading-task-tabular,2.2,5.0
677d185800ab83d1b0185d82,jsonc,modifying-task-tabular,5.5,4.25
677d185800ab83d1b0185d82,jsonc,reading-task-tabular,3.4,4.4
677d32c679491be18090225b,xml,modifying-task-tabular,1.5,6.5
677d32c679491be18090225b,xml,reading-task-tabular,1.6,4.8
6784ff2095dd9b97e969b01f,jsonc,modifying-task-tabular,3.25,4.75
6784ff2095dd9b97e969b01f,jsonc,reading-task-tabular,1.8,5.4
6787d648d7b1963c661f9443,json5,modifying-task-tabular,5.75,3.5
6787d648d7b1963c661f9443,json5,reading-task-tabular,4.6,4.8
6787e4bd2bf9557a90208f03,yaml,modifying-task-tabular,4.75,3.5
6787e4bd2bf9557a90208f03,yaml,reading-task-tabular,3.8,4.4
6788c1c724c24dc56b08790a,json5,modifying-task-tabular,2.75,6.5
6788c1c724c24dc56b08790a,json5,reading-task-tabular,1.6,7.0
678bad003d15e6aba1ee5a5d,jsonc,modifying-task-tabular,2.0,7.0
678bad003d15e6aba1ee5a5d,jsonc,reading-task-tabular,2.0,7.0
678f0bb28ec3307e4f1afb78,hjson,modifying-task-tabular,1.5,6.5
678f0bb28ec3307e4f1afb78,hjson,reading-task-tabular,1.0,7.0
67a754a5c8614c52a939d87b,hjson,modifying-task-tabular,6.25,2.5
67a754a5c8614c52a939d87b,hjson,reading-task-tabular,1.6,2.0
67ab214c2cde1be7c45535ac,jsonc,modifying-task-tabular,3.5,3.5
67ab214c2cde1be7c45535ac,jsonc,reading-task-tabular,1.4,5.2
67ab57e88fd0774428bd1f32,xml,modifying-task-tabular,6.0,5.75
67ab57e88fd0774428bd1f32,xml,reading-task-tabular,5.2,4.6
67ab650c320eccf6141d4010,jsonc,modifying-task-tabular,3.5,3.5
67ab650c320eccf6141d4010,jsonc,reading-task-tabular,4.6,4.8
67adb27bd5f5776fcb16da62,hjson,modifying-task-tabular,2.25,4.25
67adb27bd5f5776fcb16da62,hjson,reading-task-tabular,1.0,6.8
67adb520391eb17f214a50b4,yaml,modifying-task-tabular,1.25,6.75
67adb520391eb17f214a50b4,yaml,reading-task-tabular,1.2,6.8
67aee0dfad3492b61a9ba0eb,jsonc,modifying-task-tabular,1.5,6.75
67aee0dfad3492b61a9ba0eb,jsonc,reading-task-tabular,1.0,7.0
67bf88cc763aae600b429a3e,toml,modifying-task-tabular,2.5,5.75
67bf88cc763aae600b429a3e,toml,reading-task-tabular,2.8,5.6
67c246023b44ca64d40ae45a,json5,modifying-task-tabular,2.5,3.0
67c246023b44ca64d40ae45a,json5,reading-task-tabular,3.8,2.6
67cb01a82dda2577eb6ee320,json,modifying-task-tabular,2.0,6.0
67cb01a82dda2577eb6ee320,json,reading-task-tabular,2.2,6.4
67cd944859dabbd1d4552d39,json,modifying-task-tabular,2.75,5.25
67cd944859dabbd1d4552d39,json,reading-task-tabular,2.8,6.6
67d00f24466a67ba7e41228e,toml,modifying-task-tabular,2.5,5.0
67d00f24466a67ba7e41228e,toml,reading-task-tabular,2.4,5.8
67d1283c8f6169900d0072d2,yaml,modifying-task-tabular,5.0,2.0
67d1283c8f6169900d0072d2,yaml,reading-task-tabular,3.2,5.0
67d163e7b7bcc1e9718e01da,json5,modifying-task-tabular,3.75,7.0
67d163e7b7bcc1e9718e01da,json5,reading-task-tabular,4.4,6.2
67d188bcc201cc08eac23f92,json5,modifying-task-tabular,6.5,5.0
67d188bcc201cc08eac23f92,json5,reading-task-tabular,4.6,6.6
67d29234dbfdb6668d124115,yaml,modifying-task-tabular,5.0,3.25
67d29234dbfdb6668d124115,yaml,reading-task-tabular,4.4,4.8
67d548b5aa5737666a77a6d2,json5,modifying-task-tabular,2.5,5.5
67d548b5aa5737666a77a6d2,json5,reading-task-tabular,1.2,7.0
67d7fa657f5ac0292a291a38,hjson,modifying-task-tabular,4.0,7.0
67d7fa657f5ac0292a291a38,hjson,reading-task-tabular,1.0,7.0
67d95269b47464c18da766ca,xml,modifying-task-tabular,3.75,3.25
67d95269b47464c18da766ca,xml,reading-task-tabular,2.4,4.8
67d9788747176969d8d0fa1d,hjson,modifying-task-tabular,2.0,6.0
67d9788747176969d8d0fa1d,hjson,reading-task-tabular,1.8,6.2
67dc19c31078d1581e39e75a,yaml,modifying-task-tabular,1.5,6.25
67dc19c31078d1581e39e75a,yaml,reading-task-tabular,1.4,6.6
67debe02a893eea51e8d02f2,json,modifying-task-tabular,4.0,1.75
67debe02a893eea51e8d02f2,json,reading-task-tabular,2.2,6.0
67e12acb51605ac16c227598,jsonc,modifying-task-tabular,6.5,6.75
67e12acb51605ac16c227598,jsonc,reading-task-tabular,6.4,6.8
67e17bac09359e09118892b4,json5,modifying-task-tabular,3.5,3.5
67e17bac09359e09118892b4,json5,reading-task-tabular,2.6,1.8
67e25388d573ec2d5f1c8442,yaml,modifying-task-tabular,3.5,6.25
67e25388d573ec2d5f1c8442,yaml,reading-task-tabular,2.6,6.6
67e4920c40c9561040ca01d0,xml,modifying-task-tabular,5.25,3.25
67e4920c40c9561040ca01d0,xml,reading-task-tabular,2.8,5.4
67e571bef6af7ecd9c29ad72,json,modifying-task-tabular,6.25,3.25
67e571bef6af7ecd9c29ad72,json,reading-task-tabular,5.0,4.6
67e5cf90b79d0874e1cf16b0,toml,modifying-task-tabular,2.75,5.75
67e5cf90b79d0874e1cf16b0,toml,reading-task-tabular,5.4,4.0
67eefd0739d752c54dd52686,toml,modifying-task-tabular,1.75,6.25
67eefd0739d752c54dd52686,toml,reading-task-tabular,1.6,6.6
67eff2b1a264260e948a4d14,xml,modifying-task-tabular,2.5,5.5
67eff2b1a264260e948a4d14,xml,reading-task-tabular,2.4,5.8
67f0c5d37f91ceae5cb3b318,jsonc,modifying-task-tabular,1.25,6.75
67f0c5d37f91ceae5cb3b318,jsonc,reading-task-tabular,2.2,7.0
67f184a3b82990251abd1592,yaml,modifying-task-tabular,3.25,5.75
67f184a3b82990251abd1592,yaml,reading-task-tabular,1.4,6.8
67f1a4f8dd44e7cd5adffa29,json5,modifying-task-tabular,6.75,6.75
67f1a4f8dd44e7cd5adffa29,json5,reading-task-tabular,5.4,6.4
67f1c7bd6f1c4a3d8deae02f,toml,modifying-task-tabular,1.5,7.0
67f1c7bd6f1c4a3d8deae02f,toml,reading-task-tabular,1.6,7.0
67f3619e16d4ca195fbd1bd0,yaml,modifying-task-tabular,2.0,7.0
67f3619e16d4ca195fbd1bd0,yaml,reading-task-tabular,2.4,7.0
67f5bb69760b211cdfe8021c,jsonc,modifying-task-tabular,5.0,5.25
67f5bb69760b211cdfe8021c,jsonc,reading-task-tabular,3.6,5.4
67f913a9b5c79e960807c7e3,yaml,modifying-task-tabular,4.5,5.0
67f913a9b5c79e960807c7e3,yaml,reading-task-tabular,1.8,6.2
